标题,创作者,媒介类型,分类,状态,评分,标签,短评金句,深度评价,封面链接,深度评分,艺术评分,情感评分,逻辑评分,难度评分,治愈评分
艾尔登法环,FromSoftware · 宫崎英高 / 乔治·马丁,game,魂系神作,finished,5.0,年度最佳;魂系开放世界;交界地;宫崎英高;神作,落叶跳费，黄金树将庇护你我。愿引导之光与你同在，褪色者啊，成为艾尔登之王吧！,开放世界箱庭设计的最高巅峰。从宁姆格福的晨光到黄金树脚下的律动，交界地的每一寸土地都回荡着神话破灭的史诗挽歌。,file:///android_asset/covers/steam_1245620_library_600x900.jpg,9.8,10.0,9.5,9.2,9.8,6.0
黑神话：悟空,游戏科学 Game Science · 冯骥 / 杨奇,game,动作角色扮演,finished,5.0,国产3A丰碑;东方神话;西游后传;动作RPG;大圣归来,踏过三界宝刹，阅尽九洲繁华。若不披上这身袈裟，唯恐负了这世间苍生。,国产 3A 游戏的划时代里程碑。顶级的东方魔幻美术、深邃的西游后传叙事与酣畅淋漓的棍法变身，圆了无数国人的大圣之梦。,file:///android_asset/covers/steam_2358720_library_600x900.jpg,9.6,10.0,9.8,9.0,9.2,8.0
只狼：影逝二度,FromSoftware · 宫崎英高,game,硬核动作,finished,5.0,年度最佳;拼刀打铁;苇名弦一郎;硬核动作;断绝不死,犹豫就会败北！苇名一心。忍者的宿命，唯有侍奉唯一之主。,冷兵器打铁音律的极致快感。弹刀见招拆招的压迫感与唯美苍凉的苇名古国风貌，将武士道与不死宿命展现得淋漓尽致。,file:///android_asset/covers/steam_814380_library_600x900.jpg,9.2,9.6,9.2,9.5,10.0,6.5
DARK SOULS™ III,FromSoftware · 宫崎英高,game,魂系神作,finished,5.0,黑魂3;传火时代;无火余灰;薪王们;魂系巅峰,灰烬大人，愿初火将您引向终焉。传火的漫长时代在此落幕。,黑魂三部曲的终极史诗篇章。传火祭祀场中回荡的管风琴声与洛斯里克高墙，将不死人的宿命升华为永恒赞歌。,file:///android_asset/covers/steam_374320_library_600x900.jpg,9.6,9.8,9.5,9.2,9.8,6.0
DARK SOULS™: REMASTERED,FromSoftware,game,魂系始祖,finished,5.0,魂系鼻祖;赞美太阳;罗德兰;传火祭祀场,赞美太阳！罗德兰古国的立体地图设计，魂系梦开始的地方。,传火神话的开山之作。无缝垂直立体的罗德兰地图设计被奉为游戏关卡设计的无上教科书。,file:///android_asset/covers/steam_570940_library_600x900.jpg,9.8,9.6,9.2,9.8,9.8,5.5
DARK SOULS™ II: Scholar of the First Sin,FromSoftware,game,魂系经典,finished,4.8,原罪学者;多兰古雷格;安迪尔;黑魂2,超越光明，超越黑暗。在受诅咒的命运之外，找寻全新的归途。,多兰古雷格王国的宏大悲剧，探讨人性诅咒与原罪深度的厚重史诗。,file:///android_asset/covers/steam_335300_library_600x900.jpg,9.4,9.2,9.0,9.2,9.6,5.5
Devil May Cry 5,CAPCOM · 伊津野英昭,game,硬核动作,finished,4.9,动作天花板;CAPCOM;SSS连招;阎魔刀;华丽摇滚,抛弃所有平庸，以 SSS 级的华丽姿态撕碎恶魔！但丁、尼禄与维吉尔的宿命合奏。,动作游戏（ACT）领域的皇冠明珠。顶尖的 RE 引擎画面、深度极高的连招判定与暴风骤雨般的摇滚战斗。,file:///android_asset/covers/steam_601150_library_600x900.jpg,8.5,9.5,9.0,9.2,8.5,9.0
剑星,SHIFT UP · 金亨泰,game,动作冒险,finished,4.8,剑星;SHIFT UP;伊芙;硬核动作;末世地球,伊芙降临荒废地球，以最优雅凌厉的剑技驱散孽奇拔的阴霾，拯救人类残存火种。,兼具顶尖动作打击反馈与华丽韩系美学的 3A 动作新作。极度爽快的完美招架与处决演出。,file:///android_asset/covers/bgm_283357_ZChZh.jpg,8.5,9.6,9.0,8.8,7.5,8.5
明末：渊虚之羽,灵泽科技,game,国风魂系动作,wishlist,4.8,明末蜀地;古蜀文明;国风魂系;三星堆;动作RPG,明末乱世，羽化怪病肆虐蜀地。无常少女拔剑斩妖，探寻古蜀文明与宿命秘辛！,备受期待的明末古蜀题材国风魂系动作大作。将三星堆、金沙古蜀文明与克苏鲁式羽化异变完美交融。,file:///android_asset/covers/bgm_498460_DFndm.jpg,9.2,9.6,9.0,9.0,9.0,7.0
女神异闻录5皇家版,ATLUS · P-Studio,game,日系角色扮演,finished,5.0,P5天下第一;JRPG巅峰;心之怪盗团;潮酷美学;神作,夺取那些腐朽大人的扭曲欲望，在这个无可救药的世界中贯彻属于心之怪盗团的正义！Take Your Heart!,天下第一的 JRPG 殿堂神作。无与伦比的潮爆 UI 视觉语言、酸爵士配乐与白天高中生活、夜晚怪盗夺心双重人生的完美融合。,file:///android_asset/covers/steam_1687950_header.jpg,9.5,10.0,9.8,9.2,6.0,9.6
