标题,创作者,媒介类型,分类,状态,评分,标签,短评金句,深度评价,封面链接,深度评分,艺术评分,情感评分,逻辑评分,难度评分,治愈评分
小王子,圣埃克苏佩里,book,外国文学,finished,8.0,童话;治愈;哲学;经典,正因为你为你的玫瑰花费了时间，这才使你的玫瑰变得如此重要。,这是一本写给所有曾经是小孩的大人的童话。它用最纯净的语言，道出了人世间最深刻的真理：爱是驯服与责任，唯有用心才能看清本质。,covers/bgm_470322_nAZAP.jpg,8.0,8.0,8.0,8.0,5.0,8.0
百年孤独,马尔克斯,book,外国文学,finished,8.0,魔幻现实主义;拉美文学;孤独;神作,多年以后，面对行刑队，奥雷里亚诺·布恩迪亚上校将会回想起父亲带他去见识冰块的那个遥远的下午。,魔幻现实主义的无上巅峰。马孔多小镇百年的兴衰荣辱与布恩迪亚家族七代人的孤独轮回，写尽了人类命运的悲凉与壮阔。,covers/douban_s27237850.jpg,8.0,8.0,8.0,8.0,5.0,8.0
三体,刘慈欣,book,科幻小说,finished,8.0,硬核科幻;宇宙社会学;黑暗森林;大刘,消灭人类暴政，世界属于三体！给岁月以文明，而不是给文明以岁月。,中国科幻文学的丰碑之作。从红岸基地的第一声啼鸣到浩瀚宇宙的黑暗森林法则，展现了宏大宇宙与渺小人类文明的震撼碰撞。,covers/douban_s2768378.jpg,8.0,8.0,8.0,8.0,5.0,8.0
1984,乔治·奥威尔,book,反乌托邦,finished,8.0,反乌托邦;极权批判;思想控制;经典,老大哥在看着你。自由就是可以说二加二等于四的自由。,反乌托邦文学的三大巅峰之首。冷峻剖析了极权主义对人类思想、语言与自由意志的终极剥夺。,covers/douban_s4371408.jpg,8.0,8.0,8.0,8.0,5.0,8.0
鼠疫,加缪,book,存在主义,finished,8.0,存在主义;荒诞与反抗;加缪;人性,这一切里面并不存在英雄主义，这只是诚实的问题。与鼠疫抗争的唯一方法就是诚实。,加缪存在主义文学的代表作。面对突如其来的荒诞灾难与封闭隔离，里厄医生等普通人坚守良知，展现了人类面对绝境时不屈的尊严。,covers/bgm_310634_R3bhR.jpg,8.0,8.0,8.0,8.0,5.0,8.0
动物农场,乔治·奥威尔,book,政治讽喻,finished,8.0,政治寓言;讽刺;奥威尔;神作,所有动物生来平等，但有些动物比其他动物更平等。,传世的政治讽喻寓言。用极具洞察力的笔触揭示了权力如何腐蚀革命理想的残酷规律。,covers/bgm_123576_9yR5T.jpg,8.0,8.0,8.0,8.0,5.0,8.0
活着,余华,book,当代文学,finished,8.0,余华;苦难与坚韧;悲悯;经典,人是为了活着本身而活着，而不是为了活着之外的任何事物所活着。,中国当代文学最震撼心灵的苦难史诗。福贵的一生经历了无数死别，却以最朴素的韧性承载了生命的全部重量。,covers/douban_s29869926.jpg,8.0,8.0,8.0,8.0,5.0,8.0
白夜行,东野圭吾,book,推理小说,finished,8.0,东野圭吾;社会派推理;绝望之爱;唐泽雪穗,我的天空里没有太阳，总是黑夜，但并不暗，因为有东西代替了太阳。,社会派推理小说的无冕之王。两个在黑暗中互为依托的灵魂，将绝望的守护与罪恶交织成令人窒息的悲剧。,covers/bgm_6686_zXCXz.jpg,8.0,8.0,8.0,8.0,5.0,8.0
挪威的森林,村上春树,book,外国文学,finished,8.0,村上春树;青春迷茫;生死羁绊;伤感,死并非生的对立面，而作为生的一部分永存。,村上春树最负盛名的青春物语。迷惘的成长、无法弥合的孤独与逝去的青春。,covers/bgm_920_85mPM.jpg,8.0,8.0,8.0,8.0,5.0,8.0
月亮与六便士,毛姆,book,外国文学,finished,8.0,毛姆;理想与现实;艺术追求;高更,满地都是六便士，他却抬头看见了月亮。,毛姆探讨天才与世俗冲突的杰作。思特里克兰德抛弃优渥生活追寻纯粹艺术，展现了狂热灵魂的极致绽放。,covers/douban_s29634528.jpg,8.0,8.0,8.0,8.0,5.0,8.0
罪与罚,陀思妥耶夫斯基,book,外国文学,finished,8.0,俄国文学;心理剖析;救赎;经典,痛苦和受难是不可避免的，对于本来就心胸博大、感受深刻的人更是如此。,陀思妥耶夫斯基深邃的心理剖析巅峰。通过拉斯柯尔尼科夫的犯罪与心灵忏悔，拷问了道德、超人与救赎的真谛。,covers/bgm_477180_I9dd9.jpg,8.0,8.0,8.0,8.0,5.0,8.0
