标题,创作者,媒介类型,分类,状态,评分,标签,短评金句,深度评价,封面链接,深度评分,艺术评分,情感评分,逻辑评分,难度评分,治愈评分
蜘蛛侠：崭新之日,漫威影业 · 索尼电影,movie,超级英雄,finished,4.8,漫威影业;超级英雄;崭新之日;街头英雄;成长,能力越大，责任越大。无论世界如何遗忘彼得·帕克，蜘蛛侠永远守护纽约的晨曦。,剥离了斯塔克工业高科技光环，彼得·帕克在简陋公寓中缝制新战衣，重拾街头英雄的坚韧与初心。,https://lain.bgm.tv/pic/cover/l/2d/86/420898_M4KCk.jpg,8.0,8.5,9.2,8.4,4.0,8.8
哪吒之魔童闹海,饺子 · 可可豆动画,movie,神话国漫,finished,4.9,国漫神作;神话史诗;魔童降世续集;逆天改命;视觉震撼,我命由我不由天，是魔是仙，我自己说了才算！四海龙族受死！,国产动画电影巅峰巨制。哪吒与敖丙肉身虽灭但魂魄尚存，重塑肉身与四海龙王掀起撼天动地的终极决战。,https://lain.bgm.tv/pic/cover/l/37/d4/537858_yQh8W.jpg,8.8,9.2,9.6,8.6,5.0,8.8
肖申克的救赎,弗兰克·德拉邦特,movie,剧情经典,finished,5.0,影史第一;自由意志;希望救赎;经典神作;人性史诗,有些鸟儿是关不住的，它们的每一片羽毛都闪耀着自由的光辉。希望是件好东西，也许是最好的东西。,影史无可争议的无冕之王。安迪用一把小石锤在十九年里凿开肖申克监狱的高墙，暴雨中拥抱自由的瞬间成为人类电影史的永恒丰碑。,https://img9.doubanio.com/view/photo/l/public/p1435894655.jpg,10.0,9.8,9.8,9.7,6.0,9.6
哈尔的移动城堡,宫崎骏 · 吉卜力工作室,movie,奇幻治愈,finished,5.0,宫崎骏;吉卜力;浪漫奇幻;反战治愈;童话史诗,在茫茫人海中相遇，我已经找了你很久很久。世界这么大，人生这么长，总会有一个人，让你想要温柔对待。,宫崎骏最唯美浪漫的心灵寓言。即使外表衰老如风烛残年，真挚勇敢的心灵也能让沉重钢铁城堡翱翔于澄澈星空与花海。,https://lain.bgm.tv/pic/cover/l/95/0a/312_LmAan.jpg,9.0,10.0,10.0,8.5,4.0,10.0
星际穿越,克里斯托弗·诺兰,movie,硬核科幻,finished,5.0,诺兰神作;硬核科幻;黑洞时空;父女深情;五维空间,不要温和地走进那个良夜。爱是唯一可以超越时间与空间维度的力量。,硬核相对论物理与极致父女亲情的壮丽交响。穿越五维超正方体拨动书架手表的秒针，浩瀚宇宙在人类的情感面前亦化作回音。,https://lain.bgm.tv/pic/cover/l/69/05/114365_O26a7.jpg,9.8,9.6,10.0,9.8,7.5,9.0
盗梦空间,克里斯托弗·诺兰,movie,悬疑科幻,finished,5.0,诺兰神作;潜意识;梦境架构;极致烧脑;哲学悬疑,最坚韧的寄生虫是什么？是想法。一个想法可以筑起城市，也可以改变世界。图腾旋转不息，但我们已回到真实。,多层梦境嵌套与时间差叙事的结构奇迹。旋转的陀螺成为了整个电影史最迷人的哲学隐喻。,https://lain.bgm.tv/pic/cover/l/67/85/24057_P7DQx.jpg,9.6,9.5,9.0,10.0,8.0,7.5
疯狂动物城,拜伦·霍华德 · 迪士尼,movie,动画喜剧,finished,4.9,迪士尼;乌托邦;爆笑治愈;打破偏见;狐兔CP,生活总会有点不顺心，但无论你是何种动物，改变都从你开始。Try Everything!,迪士尼兼具极致娱乐性与深刻社会多元包容思辨的现代经典。兔朱迪与狐尼克的乌托邦冒险充满灵动与温暖。,https://lain.bgm.tv/pic/cover/l/8e/4f/460021_aFU0A.jpg,9.2,9.4,9.4,9.0,4.0,9.6
教父,弗朗西斯·福特·科波拉,movie,黑帮史诗,finished,5.0,影史巅峰;黑帮史诗;权力圣经;柯里昂家族;教父,伟大的人不是生来就伟大的，而是在成长过程中展现其伟大的。永远不要让别人知道你在想什么。,男人的圣经，电影美学的教科书。柯里昂家族在光影暗调中的沉浮与决断，构筑了人类权力与家庭责任的最冷峻赞歌。,https://lain.bgm.tv/pic/cover/l/1d/81/64965_8c3K2.jpg,9.8,9.8,9.2,9.6,6.5,6.5
功夫,周星驰,movie,武侠动作,finished,4.9,周星驰;武侠巅峰;动作喜剧;童年梦想;如来神掌,想学啊？我教你啊。一曲肝肠断，天涯何处觅知音。,周星驰无厘头与传统武侠浪漫美学的集大成之作。从猪笼城寨的市井烟火到如来神掌化作彩蝶，充满了小人物对纯真童梦的守候。,https://lain.bgm.tv/pic/cover/l/61/f4/251853_k9OgZ.jpg,8.8,9.4,9.2,8.6,4.0,9.5
新世纪福音战士新剧场版：终,庵野秀明 · Khara,movie,科幻哲学,finished,5.0,EVA终章;神作电影;庵野秀明;告别EVA;哲学心智,不能逃避，面对人与人之间的AT力场，向所有的福音战士告别，再见所有的Evangelion。,跨越四分之一个世纪的青春终章。庵野秀明用最真诚的成年人笔触，打破了虚幻的避难所，教我们走出忧郁，拥抱真实的人间与现实世界。,https://lain.bgm.tv/pic/cover/l/fe/45/6049_zy52O.jpg,9.9,9.6,9.8,8.5,6.0,9.5
给阿嘛的情书,闽南纪实影音,movie,温情纪录,finished,4.9,亲情纪录;闽南古厝;阿嘛的爱;岁月温情;人间烟火,阿嘛留下的不仅是摇椅与古厝的风，更是流淌在血脉里永远不会褪色的温暖记忆。,真挚动人的代际亲情与乡土记忆。用温柔细腻的镜头记录祖辈的坚韧与慈爱，勾起无数人内心最柔软的归宿感与故土乡愁。,https://img1.doubanio.com/view/photo/l/public/p2932240430.jpg,9.0,9.5,10.0,8.6,3.5,10.0
