媒介,标题,创作者,分类,状态,评分,标签,一句话短评,长评,封面链接,开始日期,完成日期,购入渠道,存放位置,装帧/形态,价格
番剧,新世纪福音战士：终,庵野秀明 · Khara,神作番剧,读完,5.0,神作番剧、机甲科幻、哲学心智、治愈成长,不能逃避，面对人与人之间的AT力场，向所有的福音战士告别，再见所有的Evangelion。,跨越四分之一个世纪的青春终章。庵野秀明用最真诚的成年人笔触，打破了虚幻的避难所，教我们走出忧郁，拥抱真实的人间与现实世界。,https://lain.bgm.tv/pic/cover/l/04/dc/29883_jQ4Hz.jpg,2026-06-01,2026-06-15,Bilibili 番剧 · 正版特装,展厅第3层 · 经典番剧回廊,BD 蓝光典藏全集,128.0
番剧,EVA (新世纪福音战士),庵野秀明 · Gainax,机甲哲学,读完,5.0,1995年、EVA、机甲神作、神作,不能逃避，面对人与人之间的AT力场，向所有的福音战士告别。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/66/46/6048_MJqSM.jpg,1995-01-01,1995-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,浪客剑心 追忆篇,古桥一浩 · Studio Deen,时代剑戟,读完,5.0,1999年、时代剑戟、凄美神作、雪代巴,你真是能呼唤腥风血雨的人啊，十字伤的宿命与救赎。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/71/37/1728_HLsCr.jpg,1999-01-01,1999-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,夏目友人帐,大森贵弘 · Brain's Base,治愈妖怪,读完,5.0,2008年、治愈系、夏目贵志、猫咪老师,我想成为一个温柔的人，因为曾被温柔的人那样对待过。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/cf/a0/259_7C5D9.jpg,2008-01-01,2008-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,轻音少女,山田尚子 · 京都动画,青春音乐,读完,4.8,2009年、京阿尼、萌系日常、放学后TEA TIME,请不要拔掉插头，因为我们还要演奏更多属于青春的旋律！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/48/9d/1424_q8FMQ.jpg,2009-01-01,2009-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,轻音少女 第二季,山田尚子 · 京都动画,青春音乐,读完,5.0,2010年、京阿尼、毕业季、天使にふれたよ!,但我们相遇了天使，毕业并不是终点，我们永远是同伴。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/48/9d/1424_q8FMQ.jpg,2010-01-01,2010-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,怪盗基德 (魔术快斗),TMS Entertainment,悬疑奇幻,读完,4.7,2010年、怪盗基德、魔术月光、黑羽快斗,如果说怪盗是个技艺精湛的魔术师，那侦探不过是跟在后面的评论家罢了。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/0d/5b/4330_czWc0.jpg,2010-01-01,2010-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,Angel Beats！,麻枝准 · P.A.WORKS,奇幻催泪,读完,4.9,2010年、麻枝准、死后世界、催泪神作,即便转世重生，我依然会喜欢上你，这就是我的心跳声。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/ff/14/1851_ZFEg7.jpg,2010-01-01,2010-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,JOJO 的奇妙冒险,津田尚克 · david production,奇幻热血,读完,4.9,2012年、JOJO、波纹疾走、大乔二乔,人类的赞歌就是勇气的赞歌！人类的伟大就是勇气的伟大！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/61/c0/61534_55bd5.jpg,2012-01-01,2012-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,我的青春恋爱物语果然有问题,吉村爱 · Brain's Base,青春思辨,读完,4.8,2013年、春物、大老师、真物,温柔正确的人总是难以生存，因为这世界既不温柔也不正确。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/1e/f1/54433_JZ99l.jpg,2013-01-01,2013-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
